[[7.36916320e+02 2.02190847e+03]
 [7.36961430e+02 2.14436981e+03]
 [7.37006470e+02 1.40766846e+03]
 [7.37051570e+02 1.03254040e+03]
 [7.37096680e+02 0.00000000e+00]
 [7.37141780e+02 1.38520231e+03]
 [7.37186890e+02 5.83773622e+03]
 [7.37231990e+02 1.19969265e+04]
 [7.37277100e+02 1.00311403e+04]
 [7.37322200e+02 7.16947558e+03]
 [7.37367310e+02 8.06891224e+03]
 [7.37412410e+02 6.96154555e+03]
 [7.37457520e+02 8.47478887e+03]
 [7.37502620e+02 8.57541467e+03]
 [7.37547730e+02 8.37386198e+03]
 [7.37592830e+02 6.95489259e+03]
 [7.37638000e+02 6.28806619e+03]
 [7.37683110e+02 7.14683066e+03]
 [7.37728270e+02 7.60450168e+03]
 [7.37773380e+02 1.12329988e+04]
 [7.37818480e+02 1.09195720e+04]
 [7.37863650e+02 1.26949740e+04]
 [7.37908750e+02 1.18403194e+04]
 [7.37953920e+02 1.22315467e+04]
 [7.37999080e+02 1.84402935e+04]
 [7.38044190e+02 2.52053669e+04]
 [7.38089360e+02 3.19563266e+04]
 [7.38134520e+02 4.36891408e+04]
 [7.38179690e+02 6.52647253e+04]
 [7.38224790e+02 9.39382516e+04]
 [7.38269960e+02 1.44988144e+05]
 [7.38315120e+02 2.27501796e+05]
 [7.38360290e+02 3.12622622e+05]
 [7.38405460e+02 3.66889761e+05]
 [7.38450620e+02 3.52405740e+05]
 [7.38495790e+02 2.94584781e+05]
 [7.38541020e+02 2.23505209e+05]
 [7.38586180e+02 1.56547797e+05]
 [7.38631350e+02 1.06824295e+05]
 [7.38676510e+02 7.40813410e+04]
 [7.38721680e+02 5.50209584e+04]
 [7.38766910e+02 4.15905915e+04]
 [7.38812070e+02 3.20974815e+04]
 [7.38857300e+02 2.36077016e+04]
 [7.38902470e+02 1.99390996e+04]
 [7.38947690e+02 1.51520794e+04]
 [7.38992860e+02 9.15431421e+03]
 [7.39038090e+02 5.81591702e+03]
 [7.39083250e+02 5.34832211e+03]
 [7.39128480e+02 7.12278998e+03]
 [7.39173710e+02 8.66125229e+03]
 [7.39218870e+02 5.33494271e+03]
 [7.39264100e+02 2.95442879e+03]
 [7.39309330e+02 3.12068408e+03]
 [7.39354550e+02 6.02148644e+03]
 [7.39399780e+02 4.68114269e+03]
 [7.39445010e+02 4.36393694e+03]
 [7.39490230e+02 4.09644251e+03]
 [7.39535460e+02 2.70979046e+03]
 [7.39580690e+02 1.04862736e+03]
 [7.39625920e+02 1.47750938e+03]
 [7.39671140e+02 1.27143125e+03]
 [7.39716430e+02 2.09931501e+02]
 [7.39761660e+02 0.00000000e+00]
 [7.39806880e+02 1.08505449e+02]
 [7.39852170e+02 6.77378070e+02]
 [7.39897400e+02 2.91421942e+03]]
